PetNorm,NatGasNorm,CoalNorm
0.06367419437210042,0.0,0.5664852507010758
0.0,0.034298386649299184,0.5525543332313783
0.07364014843626432,0.08822894291417205,0.5764601451361964
0.12100423845185038,0.14268828594051808,0.6344072570710788
0.23248548460097895,0.1830555554370743,0.665126585367356
0.2337788727605612,0.26778731654006105,0.6783951543448392
0.36898158131776837,0.2978398547896246,0.7623677248316851
0.44095984887743667,0.3146165070976712,0.8099329240561772
0.5095908244726197,0.2712362060840645,0.8089087298380742
0.6489272724215804,0.2853230297545841,0.814633510203221
0.6909511267327333,0.3617729422665208,0.9066215636945274
0.6787849717392409,0.27058913737416534,0.873464570192737
0.7049505514336274,0.3401901706574446,0.8793047973958641
0.7678515041258112,0.2739325875077452,0.9167463828388001
0.9291893963062239,0.27965636048465226,0.9609442138577338
0.9456180894026782,0.25079761833458303,1.0
0.9190935411629702,0.22295626697191584,0.9739586638407798
0.9174499548284749,0.3469648859731944,0.9944269376452937
0.6439594578051451,0.35664133703970635,0.9836120086896596
0.4759065444058499,0.32986287340808773,0.7711936897890159
0.5704434485750558,0.4337456977545624,0.8388106341394779
0.5025744724040373,0.4682305543951506,0.7749105292044329
0.41004628582758373,0.555743052084883,0.5690920104363997
0.5211181355362879,0.6163361472192455,0.6096392552616352
0.5519303344021869,0.6550294469961571,0.6151254807781132
0.6521818125957526,0.7124556026129778,0.38135598916349256
0.6877397130590057,0.7235244922039732,0.2506363863528085
0.7503017139953996,0.7020297095818899,0.22805290153890456
0.8699076369528052,0.9393244790397104,0.16512457622421595
0.9490429104886133,0.9667131247751948,0.062434751228550134
1.0000000000000004,1.0000000000000002,0.0
