Year,Petroleum (mmbpd),Natural Gas (bcf/day),Coal (MMSt),Hydroelectric,Wind,Solar,Geothermal
1990,16.989137219,52.530287689,902.76874396,3.04639053,0.029007016732000002,0.059419783,0.170747287
1991,16.713846896,53.594702954,895.303788,3.015943356,0.030796124563000002,0.062353520999999995,0.17762581100000002
1992,17.03222423,55.268382475,908.11384401,2.617436128,0.029862763125,0.063676076,0.178698802
1993,17.236999112,56.958472351000005,939.16511106,2.891612727,0.030987070368,0.066059743,0.185673318
1994,17.718979427,58.211229173,955.62622594,2.683457061,0.035560376557,0.068101518,0.173463733
1995,17.724571288,60.840792506999996,962.73625895,3.205307298,0.032629776400000005,0.069347002,0.15205659800000002
1996,18.309109462000002,61.77344222,1007.7334059,3.5896557330000003,0.033440273253,0.07041726,0.163358593
1997,18.620301786,62.294088423999995,1033.22147,3.640457501,0.033580701761,0.069586179,0.16669768
1998,18.917022359,60.947825258,1032.6726501,3.2970537369999997,0.030853022765,0.069052634,0.168449641
1999,19.519432427,61.384995388,1035.740304,3.267575433,0.045894267691,0.067936658,0.170921035
2000,19.701119224,63.757540041999995,1085.03259,2.811116063,0.057056855583,0.06558692,0.16436430400000002
2001,19.648519819,60.927744143999995,1067.2652392999998,2.241858478,0.069616841037,0.064267017,0.164460598
2002,19.761644625,63.087740853,1070.3947560000001,2.689017197,0.10533409037999998,0.063005823,0.17116409600000002
2003,20.033591899,61.031504691,1090.458028,2.792539021,0.11457083929999999,0.061947989,0.17344533899999998
2004,20.731123464,61.209136117,1114.14167,2.6884677619999997,0.14174856917,0.062684753,0.17814672
2005,20.802151614,60.313534642,1135.06992,2.702942228,0.17808768014,0.063445787,0.18070276100000002
2006,20.687474836,59.449506846999995,1121.115532,2.869035197,0.26373764999,0.06844104,0.18120028
2007,20.680368921,63.297987197,1132.0835650000001,2.446388587,0.34050308268,0.075657103,0.185774215
2008,19.497954475,63.598285935,1126.2883279999999,2.511108471,0.54554798858,0.073813602,0.19243312899999998
2009,18.771391049,62.767243771000004,1012.4628460000001,2.66882412,0.7211266168800001,0.077653809,0.200184503
2010,19.180113847,65.991140718,1048.6957439999999,2.538541145,0.9232705346600001,0.090482912,0.207978644
2011,18.886687718,67.061342888,1014.4545341,3.102852243,1.1670944041,0.111128539,0.212310919
2012,18.486649450999998,69.777203531,904.16558998,2.628701965,1.3393646844,0.15684874599999998,0.21159204199999998
2013,18.966859773,71.657648115,925.89304602,2.562382317,1.6004236409,0.224523132,0.21400616600000003
2014,19.100073868,72.858455003,928.83286904,2.466576574,1.7260260421,0.33693916100000004,0.214489708
2015,19.533503173,74.640616866,803.56624798,2.3211773119999997,1.7757054845,0.42572667399999997,0.211835882
2016,19.687234932,74.984128506,733.519456,2.472441798,2.0937279855,0.5686651770000001,0.20960385
2017,19.957716775,74.317059965,721.41797597,2.7669693619999998,2.3456110303,0.774465814,0.210233282
2018,20.474823485,81.68125984699999,687.69749933,2.675358354,2.546014181,0.955601183,0.218938897
2019,20.816958556,82.531238387,632.67061235,2.4611023999999997,2.8916944,1.0777469,0.2293999
2020,21.037267485999998,83.56426243199999,599.21462,2.6013859,3.2535542,1.2736578,0.2312196
