,Year,Natural Gas Emissions,Natural Gas Emissions % Change,Petroleum Emissions,Petroleum Emissions % Change,Coal Emissions,Coal Emissions % Change,Total Energy Co2 Emissions,Total Carbon Emissions % Change,Units
0,1990,1026.437147,0.0,2186.7007877,0.0,1821.4052804,0.0,5038.299519,0.0,million metric tons
1,1991,1046.8917479,1.9927767579128575,2130.8555465,-2.553858374868877,1807.2583856,-0.7767021954000879,4992.6105868,-0.9068323950908748,million metric tons
2,1992,1082.0511111,3.3584526070176453,2174.167907,2.032627719468926,1821.9228006,0.8114177317888861,5087.0185138,1.890953146828737,million metric tons
3,1993,1111.3310359,2.7059650417284145,2188.232745,0.6469067064561257,1882.4155673,3.320270577879497,5183.5623574,1.8978473016777404,million metric tons
4,1994,1134.3372208,2.0701468920436286,2224.3204074,1.64916928889117,1893.2398325,0.5750199577623255,5261.6042268,1.5055643979779316,million metric tons
5,1995,1183.0004799,4.2900169550708975,2216.1451765,-0.3675383669008305,1913.101623,1.049090039151186,5322.5915657,1.1591016023090497,million metric tons
6,1996,1203.9561152,1.771397024434972,2300.1430603,3.7902699105958018,1995.4470549,4.304289479973955,5509.8378296,3.517952891720235,million metric tons
7,1997,1210.2526451,0.5229866620972329,2323.2440924,1.0043302305286763,2039.8878009,2.227107248517155,5584.1303863,1.3483619481663338,million metric tons
8,1998,1188.8299895,-1.7700978127777607,2371.536272,2.078652852620059,2064.4572298,1.2044500138272198,5635.4632284,0.9192629567880197,million metric tons
9,1999,1193.2023098,0.36778347943921513,2421.6476247,2.1130333654032443,2062.3967056,-0.09980948843388293,5687.9395292,0.9311798990284401,million metric tons
10,2000,1242.5660228,4.137078230117918,2459.0237843,1.5434185890125196,2155.4949154,4.514078671053515,5867.6252306,3.1590649035129994,million metric tons
11,2001,1187.7785589,-4.409219542036228,2474.0077831,0.6093474530692802,2087.9925446,-3.1316413839683457,5761.0314062,-1.816643364407581,million metric tons
12,2002,1226.9620514,3.2988886864810754,2469.6770516,-0.17504922699043424,2094.5636908,0.3147111907556535,5804.3332487,0.7516335087741189,million metric tons
13,2003,1193.1616236,-2.754806292617835,2514.4071152,1.811170556531724,2135.6507543,1.9616048764937204,5854.7810247,0.8691398966676972,million metric tons
14,2004,1200.2619196,0.5950824984277572,2602.5547508,3.5057025995167224,2160.157167,1.1474915854410146,5974.5314186,2.045343683987496,million metric tons
15,2005,1182.9120189,-1.4455095522635653,2622.7226458,0.7749268288707714,2181.8967085,1.006387027393553,5998.6761892,0.4041282722998653,million metric tons
16,2006,1166.9243841,-1.3515489355554153,2593.3803282,-1.1187731820209272,2146.901681,-1.6038810344994894,5919.1244611,-1.3261547313259703,million metric tons
17,2007,1240.7217956,6.324095417452161,2596.0102194,0.10140784872173159,2172.1990032,1.1783176856155275,6020.6110693,1.714554388355263,million metric tons
18,2008,1254.9504495,1.1468045415547268,2404.2890851,-7.38522263384276,2139.5711579,-1.5020651999164858,5810.8055287,-3.484788141685987,million metric tons
19,2009,1233.2605411,-1.7283477932249744,2267.9758064,-5.66958771907958,1875.6175609,-12.33675243870233,5388.4843706,-7.267859094821261,million metric tons
20,2010,1291.5456099,4.726095326784155,2296.6358934,1.2636857465200606,1986.159771,5.893643374023292,5585.7429404,3.6607431001611275,million metric tons
21,2011,1311.4217219,1.5389399993035366,2247.2083526,-2.152171397392298,1875.7797832,-5.557457633150298,5446.1322347,-2.4994115767526384,million metric tons
22,2012,1371.5610822,4.58581395257581,2196.6333531,-2.2505701103097664,1657.2680511,-11.649114360707543,5237.2996975,-3.8345109556728105,million metric tons
23,2013,1409.35395,2.7554637041304524,2224.3562467,1.2620628545440316,1717.8293899,3.6542874738822584,5363.0191015,2.4004622851736355,million metric tons
24,2014,1439.5261164,2.1408508770986985,2246.5761322,0.9989355586797107,1713.5413644,-0.24961882275454736,5411.1928133,0.8982573227555022,million metric tons
25,2015,1482.9839654,3.018899657665141,2289.9803046,1.9320143118184034,1480.3240226,-13.610254566668223,5264.7765886,-2.7058031334630797,million metric tons
26,2016,1493.9813327,0.7415702095628303,2312.6078371,0.9881103542483142,1354.1614478,-8.522632401682687,5172.400445,-1.7546070957697377,million metric tons
27,2017,1473.9347923,-1.3418200054595577,2329.5180543,0.7312185373031339,1315.9754204,-2.819902121865726,5131.0780938,-0.7989008515368421,million metric tons
28,2018,1617.6484134,9.750337793149058,2375.61878,1.978981258157818,1269.4403272,-3.536167353783511,5274.3572906,2.7923799673430754,million metric tons
29,2019,1636.8881,1.1893614484226287,2382.1237,0.27382002763929625,1177.27296,-7.26047260553737,5207.9345,-1.259353262214125,million metric tons
30,2020,1661.8332,1.5239343483528374,2398.6246,0.6926970249277987,1109.92365,-5.720789679905675,5182.0311,-0.49738336762876234,million metric tons
