renewable_years,Hydro Electric,Wind Power,Geo Thermal,Solar Power
2001,77844.57,3893.64,2217.01,391.6
2002,78297.34,4416.64,2254.25,396.9
2003,77901.2,6001.79,2135.25,397.3
2004,77196.86,6463.7,2163.88,398.1
2005,77112.83,8719.17,2297.1,411.1
2006,77363.87,11350.75,2294.78,411.1
2007,77523.3,16515.1,2214.2,500.5
2008,77574.5,24651.3,2228.8,534.5
2009,78159.3,34294.6,2381.9,617.4
2010,78101.3,39121.4,2404.6,857.8
2011,77721.4,45647.0,2409.2,1465.0
2012,78073.7,59036.3,2592.1,3062.9
2013,78521.7,59922.5,2607.0,6421.9
2014,79376.6,64155.6,2514.3,10092.2
2015,79385.5,72486.3,2541.5,13374.2
2016,79556.2,81198.0,2516.6,21630.6
2017,79431.6,87488.4,2485.6,26432.1
2018,79533.1,94657.0,2499.3,31679.4
2019,79537.6,105249.7,2507.2,36362.9
2020,79763.0,113651.5,2622.1,43073.8
